,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Datetime,Date,Time
188,18.532,91.97,13.36,24/11/2016 15:11,2016-11-24,15:11:00
189,20.694000000000003,91.95,13.56,24/11/2016 15:12,2016-11-24,15:12:00
190,19.762,91.3,13.76,24/11/2016 15:12,2016-11-24,15:12:00
191,17.32,91.76,13.62,24/11/2016 15:13,2016-11-24,15:13:00
192,23.625,92.25,13.63,24/11/2016 15:13,2016-11-24,15:13:00
193,18.992,92.01,13.79,24/11/2016 15:14,2016-11-24,15:14:00
194,19.485,90.93,14.0,24/11/2016 15:14,2016-11-24,15:14:00
195,18.498,91.97,13.46,24/11/2016 15:15,2016-11-24,15:15:00
196,24.064,92.7,13.11,24/11/2016 15:15,2016-11-24,15:15:00
197,21.576999999999998,91.97,13.87,24/11/2016 15:16,2016-11-24,15:16:00
198,20.588,90.87,13.54,24/11/2016 15:16,2016-11-24,15:16:00
199,21.084,91.94,13.42,24/11/2016 15:17,2016-11-24,15:17:00
200,19.706,92.72,13.93,24/11/2016 15:17,2016-11-24,15:17:00
201,18.141,91.92,13.9,24/11/2016 15:18,2016-11-24,15:18:00
202,23.539,91.83,14.06,24/11/2016 15:18,2016-11-24,15:18:00
203,19.633,91.4,13.94,24/11/2016 15:19,2016-11-24,15:19:00
204,19.139,91.39,14.11,24/11/2016 15:19,2016-11-24,15:19:00
205,18.941,92.62,13.25,24/11/2016 15:20,2016-11-24,15:20:00
206,20.859,91.3,13.32,24/11/2016 15:20,2016-11-24,15:20:00
207,20.273,92.22,13.68,24/11/2016 15:21,2016-11-24,15:21:00
208,23.112,83.14,13.87,24/11/2016 15:21,2016-11-24,15:21:00
209,25.45,90.9,13.57,24/11/2016 15:22,2016-11-24,15:22:00
210,17.727,92.39,13.69,24/11/2016 15:22,2016-11-24,15:22:00
211,21.293000000000003,92.12,13.61,24/11/2016 15:23,2016-11-24,15:23:00
212,24.47,68.87,14.01,24/11/2016 15:23,2016-11-24,15:23:00
213,20.256,91.14,14.08,24/11/2016 15:24,2016-11-24,15:24:00
214,21.197,91.99,14.53,24/11/2016 15:24,2016-11-24,15:24:00
215,21.164,92.07,14.06,24/11/2016 15:25,2016-11-24,15:25:00
216,19.546,92.0,14.29,24/11/2016 15:25,2016-11-24,15:25:00
217,16.167,91.59,13.8,24/11/2016 15:26,2016-11-24,15:26:00
218,16.774,90.36,14.42,24/11/2016 15:26,2016-11-24,15:26:00
219,21.436,91.54,14.29,24/11/2016 15:27,2016-11-24,15:27:00
220,20.84,92.79,13.65,24/11/2016 15:27,2016-11-24,15:27:00
221,18.484,92.64,14.23,24/11/2016 15:28,2016-11-24,15:28:00
222,21.908,92.12,14.06,24/11/2016 15:28,2016-11-24,15:28:00
223,18.861,91.86,14.03,24/11/2016 15:29,2016-11-24,15:29:00
224,21.869,92.53,13.78,24/11/2016 15:29,2016-11-24,15:29:00
225,20.83,90.79,14.08,24/11/2016 15:30,2016-11-24,15:30:00
226,24.636,91.44,14.06,24/11/2016 15:30,2016-11-24,15:30:00
227,22.266,91.64,13.61,24/11/2016 15:31,2016-11-24,15:31:00
228,20.182000000000002,91.77,14.26,24/11/2016 15:31,2016-11-24,15:31:00
229,21.307,89.33,14.24,24/11/2016 15:32,2016-11-24,15:32:00
230,22.421,92.73,14.41,24/11/2016 15:32,2016-11-24,15:32:00
231,22.71,92.63,13.89,24/11/2016 15:33,2016-11-24,15:33:00
232,19.109,92.57,14.07,24/11/2016 15:33,2016-11-24,15:33:00
233,19.926,91.35,14.07,24/11/2016 15:34,2016-11-24,15:34:00
234,20.826,91.02,14.42,24/11/2016 15:34,2016-11-24,15:34:00
235,20.169,90.25,14.22,24/11/2016 15:35,2016-11-24,15:35:00
236,20.888,90.62,13.85,24/11/2016 15:35,2016-11-24,15:35:00
237,22.072,92.58,14.18,24/11/2016 15:36,2016-11-24,15:36:00
238,23.593000000000004,91.75,13.92,24/11/2016 15:36,2016-11-24,15:36:00
239,20.317999999999998,92.25,13.37,24/11/2016 15:37,2016-11-24,15:37:00
240,20.096,90.84,12.62,24/11/2016 15:37,2016-11-24,15:37:00
241,18.27,91.77,13.61,24/11/2016 15:38,2016-11-24,15:38:00
242,23.366,91.58,13.39,24/11/2016 15:38,2016-11-24,15:38:00
243,18.957,74.46,8.93,24/11/2016 15:39,2016-11-24,15:39:00
244,20.018,92.23,13.31,24/11/2016 15:39,2016-11-24,15:39:00
245,18.813,92.54,13.34,24/11/2016 15:40,2016-11-24,15:40:00
246,22.802,91.66,13.74,24/11/2016 15:41,2016-11-24,15:41:00
247,21.964000000000002,91.39,13.39,24/11/2016 15:41,2016-11-24,15:41:00
248,20.904,91.3,13.53,24/11/2016 15:42,2016-11-24,15:42:00
249,21.791,91.84,13.49,24/11/2016 15:42,2016-11-24,15:42:00
250,22.561,87.06,13.75,24/11/2016 15:43,2016-11-24,15:43:00
251,21.989,89.06,13.44,24/11/2016 15:43,2016-11-24,15:43:00
252,22.061999999999998,91.9,13.19,24/11/2016 15:44,2016-11-24,15:44:00
253,21.956,91.1,13.33,24/11/2016 15:44,2016-11-24,15:44:00
254,21.57,91.71,13.37,24/11/2016 15:45,2016-11-24,15:45:00
255,20.813000000000002,91.57,13.0,24/11/2016 15:45,2016-11-24,15:45:00
256,25.526,87.11,12.93,24/11/2016 15:46,2016-11-24,15:46:00
257,22.65,90.36,13.33,24/11/2016 15:46,2016-11-24,15:46:00
258,26.578000000000003,91.27,12.98,24/11/2016 15:47,2016-11-24,15:47:00
259,20.98,91.07,13.04,24/11/2016 15:47,2016-11-24,15:47:00
260,25.114,92.52,13.1,24/11/2016 15:48,2016-11-24,15:48:00
261,20.359,91.69,12.35,24/11/2016 15:48,2016-11-24,15:48:00
262,20.881999999999998,91.58,13.19,24/11/2016 15:49,2016-11-24,15:49:00
263,17.355,91.87,13.87,24/11/2016 15:49,2016-11-24,15:49:00
264,20.452,88.01,13.81,24/11/2016 15:50,2016-11-24,15:50:00
265,19.984,91.94,13.71,24/11/2016 15:50,2016-11-24,15:50:00
266,22.796999999999997,91.1,13.54,24/11/2016 15:51,2016-11-24,15:51:00
267,21.320999999999998,92.17,13.39,24/11/2016 15:51,2016-11-24,15:51:00
268,18.615,91.49,13.51,24/11/2016 15:52,2016-11-24,15:52:00
269,20.308,85.49,13.5,24/11/2016 15:52,2016-11-24,15:52:00
270,19.031,92.22,13.65,24/11/2016 15:53,2016-11-24,15:53:00
271,17.851,92.25,13.59,24/11/2016 15:53,2016-11-24,15:53:00
272,18.256,91.74,13.7,24/11/2016 15:54,2016-11-24,15:54:00
273,17.273,92.14,13.64,24/11/2016 15:54,2016-11-24,15:54:00
274,22.798000000000002,90.26,13.53,24/11/2016 15:55,2016-11-24,15:55:00
275,20.749000000000002,89.98,13.56,24/11/2016 15:55,2016-11-24,15:55:00
276,20.517,91.89,13.36,24/11/2016 15:56,2016-11-24,15:56:00
277,18.083,91.77,14.01,24/11/2016 15:56,2016-11-24,15:56:00
278,21.554000000000002,92.16,13.95,24/11/2016 15:57,2016-11-24,15:57:00
